,Date,Date_YMD,Status,States,value
360,12-Jul-20,2020-07-12,Confirmed,Andaman and Nicobar,7
361,12-Jul-20,2020-07-12,Recovered,Andaman and Nicobar,8
362,12-Jul-20,2020-07-12,Deceased,Andaman and Nicobar,0
363,13-Jul-20,2020-07-13,Confirmed,Andaman and Nicobar,3
364,13-Jul-20,2020-07-13,Recovered,Andaman and Nicobar,9
365,13-Jul-20,2020-07-13,Deceased,Andaman and Nicobar,0
366,14-Jul-20,2020-07-14,Confirmed,Andaman and Nicobar,5
367,14-Jul-20,2020-07-14,Recovered,Andaman and Nicobar,20
368,14-Jul-20,2020-07-14,Deceased,Andaman and Nicobar,0
369,15-Jul-20,2020-07-15,Confirmed,Andaman and Nicobar,5
370,15-Jul-20,2020-07-15,Recovered,Andaman and Nicobar,1
371,15-Jul-20,2020-07-15,Deceased,Andaman and Nicobar,0
372,16-Jul-20,2020-07-16,Confirmed,Andaman and Nicobar,4
373,16-Jul-20,2020-07-16,Recovered,Andaman and Nicobar,3
374,16-Jul-20,2020-07-16,Deceased,Andaman and Nicobar,0
375,17-Jul-20,2020-07-17,Confirmed,Andaman and Nicobar,0
376,17-Jul-20,2020-07-17,Recovered,Andaman and Nicobar,0
377,17-Jul-20,2020-07-17,Deceased,Andaman and Nicobar,0
378,18-Jul-20,2020-07-18,Confirmed,Andaman and Nicobar,4
379,18-Jul-20,2020-07-18,Recovered,Andaman and Nicobar,3
380,18-Jul-20,2020-07-18,Deceased,Andaman and Nicobar,0
381,19-Jul-20,2020-07-19,Confirmed,Andaman and Nicobar,15
382,19-Jul-20,2020-07-19,Recovered,Andaman and Nicobar,0
383,19-Jul-20,2020-07-19,Deceased,Andaman and Nicobar,0
384,20-Jul-20,2020-07-20,Confirmed,Andaman and Nicobar,4
385,20-Jul-20,2020-07-20,Recovered,Andaman and Nicobar,6
386,20-Jul-20,2020-07-20,Deceased,Andaman and Nicobar,0
387,21-Jul-20,2020-07-21,Confirmed,Andaman and Nicobar,5
388,21-Jul-20,2020-07-21,Recovered,Andaman and Nicobar,8
389,21-Jul-20,2020-07-21,Deceased,Andaman and Nicobar,0
390,22-Jul-20,2020-07-22,Confirmed,Andaman and Nicobar,9
391,22-Jul-20,2020-07-22,Recovered,Andaman and Nicobar,4
392,22-Jul-20,2020-07-22,Deceased,Andaman and Nicobar,0
393,23-Jul-20,2020-07-23,Confirmed,Andaman and Nicobar,19
394,23-Jul-20,2020-07-23,Recovered,Andaman and Nicobar,7
395,23-Jul-20,2020-07-23,Deceased,Andaman and Nicobar,0
396,24-Jul-20,2020-07-24,Confirmed,Andaman and Nicobar,19
397,24-Jul-20,2020-07-24,Recovered,Andaman and Nicobar,4
